PeakID (cmd=annotatePeaks.pl filtered_anova.tsv mm10 -go filtered_anova_anno_go -annStats filtered_anova_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-3	chr1	80283438	80283437	-	0.818181818181818	NA	intron (NM_016716, intron 7 of 15)	intron (NM_016716, intron 7 of 15)	57253	NM_016716	26554		NM_016716	ENSMUSG00000004364	Cul3	KIAA0617	cullin 3	protein-coding
1-232	chr15	82527521	82527520	-	0.818181818181818	NA	Intergenic	RLTR10-int|LTR|ERVK	-27569	NM_001355665	380997		NM_201360	ENSMUSG00000096852	Cyp2d12	9030605E09Rik	cytochrome P450, family 2, subfamily d, polypeptide 12	protein-coding
1-639	chr7	129334073	129334072	-	0.818181818181818	NA	intron (NM_001080963, intron 5 of 6)	L1ME2|LINE|L1	69061	NR_166580	102635775		NR_166580		Gm33027	Gm44591	predicted gene, 33027	ncRNA
1-440	chr4	147777052	147777051	-	0.818181818181818	NA	intron (NM_001127189, intron 3 of 5)	intron (NM_001127189, intron 3 of 5)	32737	NM_001127189	100041677		NM_001127189	ENSMUSG00000078495	Zfp984	Gm13157	zinc finger protein 984	protein-coding
1-154	chr12	115728465	115728464	+	0.818181818181818	NA	Intergenic	L1Md_T|LINE|L1	-32670	NR_105810	102465205		NR_105810	ENSMUSG00000098336	Mir6388	Gm27925|mmu-mir-6388	microRNA 6388	ncRNA
1-274	chr17	13444673	13444672	-	0.818181818181818	NA	Intergenic	ORR1B1|LTR|ERVL-MaLR	-76784	NR_030763	272667		NR_030763	ENSMUSG00000121414	Smok4a	4930513D10Rik|Smok2c	sperm motility kinase 4A	pseudo
1-487	chr5	15022497	15022496	-	0.818181818181818	NA	Intergenic	Intergenic	10511	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-590	chr5	145678728	145678727	+	0.818181818181818	NA	Intergenic	Lx8b|LINE|L1	41409	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-443	chr4	147816492	147816491	+	0.818181818181818	NA	Intergenic	MYSERV6-int|LTR|ERVK	5711	NR_033639	277692		NR_033639	ENSMUSG00000080059	Rps19-ps3	Gm13143|Rps19-ps	ribosomal protein S19, pseudogene 3	pseudo
1-516	chr5	15487088	15487087	+	0.818181818181818	NA	Intergenic	Intergenic	-10551	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-185	chr13	100668407	100668406	+	0.818181818181818	NA	Intergenic	ORR1D1|LTR|ERVL-MaLR	-1075	NM_001168386	76041		NM_183115	ENSMUSG00000048924	Ccdc125	5830436D01Rik	coiled-coil domain containing 125	protein-coding
1-742	chrY	90808871	90808870	-	0.816901408450704	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	23428	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-383	chr4	145837225	145837224	+	0.814814814814815	NA	promoter-TSS (NR_033612)	promoter-TSS (NR_033612)	5	NR_033612	236069		NR_033612	ENSMUSG00000096233	Gm13238	-	carnitine deficiency-associated gene expressed in ventricle 3 pseudogene	pseudo
1-332	chr3	106152426	106152425	-	0.8125	NA	intron (NM_009892, intron 6 of 10)	L1_Mus3|LINE|L1	15139	NM_009892	12655		NM_009892	ENSMUSG00000040809	Chil3	Chi3l3|ECF-L|Ym1	chitinase-like 3	protein-coding
1-591	chr5	145682297	145682296	-	0.8125	NA	Intergenic	L1Md_F2|LINE|L1	37840	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-127	chr11	3175192	3175191	+	0.8125	NA	intron (NM_001363224, intron 8 of 28)	LTRIS_Mus|LTR|ERV1	18412	NM_030207	78887		NM_030207	ENSMUSG00000023764	Sfi1	-	Sfi1 homolog, spindle assembly associated (yeast)	protein-coding
1-16	chr1	85181959	85181958	-	0.8125	NA	intron (NM_001378664, intron 1 of 1)	intron (NM_001378664, intron 1 of 1)	-17653	NM_001081746	665378		NM_001081746	ENSMUSG00000079457	Gm7609	EG665378	predicted pseudogene 7609	protein-coding
1-253	chr17	3082531	3082530	+	0.810810810810811	NA	intron (NR_003519, intron 1 of 7)	intron (NR_003519, intron 1 of 7)	1653	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
1-198	chr13	119490521	119490520	+	0.80952380952381	NA	intron (NM_001370627, intron 1 of 2)	intron (NM_001370627, intron 1 of 2)	2047	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-8	chr1	85030474	85030473	-	0.80952380952381	NA	Intergenic	Intergenic	-75620	NR_163968	621875		NM_001037910	ENSMUSG00000072109	A530040E14Rik	-	RIKEN cDNA A530040E14 gene	ncRNA
1-172	chr13	12867440	12867439	-	0.80952380952381	NA	Intergenic	Intergenic	-67360	NM_011118	18812		NM_011118	ENSMUSG00000056457	Prl2c3	Ghd1|MRP-2|MRP-3|Mrpplf3|PLF-2|PLF-3|Plf2|Prl2c4|mrp/plf3	prolactin family 2, subfamily c, member 3	protein-coding
1-354	chr4	3252817	3252816	+	0.80952380952381	NA	non-coding (NR_166062, exon 6 of 6)	non-coding (NR_166062, exon 6 of 6)	21634	NR_166062	108168923		NR_166062		Gm46840	-	predicted gene, 46840	ncRNA
1-672	chr8	123600751	123600750	+	0.80952380952381	NA	Intergenic	Intergenic	-34663	NR_046154	100861501		NR_046154	ENSMUSG00000118870	Gm22291	Rn5s30	predicted gene, 22291	rRNA
1-76	chr1	88305125	88305124	-	0.807692307692308	NA	Intergenic	Intergenic	-1611	NM_134252	171382		NM_134252	ENSMUSG00000036251	Trpm8	CMR1|LTRPC6|LTrpC-6|TRPP8|Trp-p8	transient receptor potential cation channel, subfamily M, member 8	protein-coding
1-405	chr4	146523821	146523820	-	0.807692307692308	NA	intron (NR_045468, intron 2 of 2)	RMER17B2|LTR|ERVK	8900	NM_001243139	100041433		NM_001243138	ENSMUSG00000056300	Zfp981	Gm13247	zinc finger protein 981	protein-coding
1-149	chr12	20233861	20233860	+	0.806451612903226	NA	Intergenic	MMERGLN-int|LTR|ERV1	581919	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-576	chr5	94547436	94547435	-	0.8	NA	Intergenic	Intergenic	21151	NM_001243937	100041102		NM_001243937	ENSMUSG00000095074	Pramel42	Gm3139	PRAME like 42	protein-coding
1-366	chr4	83540446	83540445	-	0.8	NA	intron (NM_001369172, intron 2 of 4)	MMVL30-int|LTR|ERV1	14869	NM_001369172	320226		NM_029117	ENSMUSG00000052407	Ccdc171	4930418J05Rik|4930473A06Rik|A330015D16Rik	coiled-coil domain containing 171	protein-coding
1-189	chr13	119488339	119488338	-	0.8	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	46	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-37	chr1	85603313	85603312	+	0.8	NA	intron (NM_001013817, intron 1 of 16)	MERVL-int|LTR|ERVL	579	NM_175397	109032		NM_030194	ENSMUSG00000070034	Sp110	5031415C07Rik|52kDa|5830484A20Rik|Ifi75|Ipr1	Sp110 nuclear body protein	protein-coding
1-556	chr5	15702856	15702855	+	0.8	NA	intron (NR_001585, intron 2 of 4)	intron (NR_001585, intron 2 of 4)	11416	NM_001281511	100502967		NM_001281511	ENSMUSG00000073208	Speer4c1	4933431D05Rik|SPEER-4C|Speer4c	spermatogenesis associated glutamate (E)-rich protein 4C1	protein-coding
1-346	chr3	106308434	106308433	-	0.8	NA	Intergenic	B1_Mus1|SINE|Alu	-88954	NM_145126	104183		NM_145126	ENSMUSG00000063779	Chil4	Chi3l4|Ym2	chitinase-like 4	protein-coding
1-33	chr1	85593351	85593350	+	0.8	NA	intron (NM_175397, intron 4 of 12)	intron (NM_175397, intron 4 of 12)	5460	NM_030194	109032		NM_030194	ENSMUSG00000070034	Sp110	5031415C07Rik|52kDa|5830484A20Rik|Ifi75|Ipr1	Sp110 nuclear body protein	protein-coding
1-258	chr17	13186501	13186500	-	0.8	NA	Intergenic	RMER1A|Other|Other	-18542	NR_033458	100038394		NR_033458	ENSMUSG00000117051	Gm10512	-	predicted gene 10512	ncRNA
1-469	chr5	14989861	14989860	-	0.8	NA	Intergenic	MTEa|LTR|ERVL-MaLR	-10961	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-147	chr12	20233568	20233567	+	0.795454545454545	NA	Intergenic	MMERGLN-int|LTR|ERV1	582212	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-152	chr12	20234362	20234361	-	0.794871794871795	NA	Intergenic	RLTR1D2_MM|LTR|ERV1	581418	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-352	chr4	3174490	3174489	+	0.794117647058823	NA	Intergenic	Intergenic	2406	NM_001167534	100312470		NM_001167534	ENSMUSG00000115072	Vmn1r2	Gm11776	vomeronasal 1 receptor 2	protein-coding
1-150	chr12	20234070	20234069	+	0.793103448275862	NA	Intergenic	MMERGLN-int|LTR|ERV1	581710	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-711	chrX	169979339	169979338	+	0.791666666666667	NA	promoter-TSS (NR_029457)	promoter-TSS (NR_029457)	-421	NR_029457	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-56	chr1	88262360	88262359	+	0.789473684210526	NA	TTS (NM_001281466)	TTS (NM_001281466)	7049	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-59	chr1	88262407	88262406	+	0.789473684210526	NA	TTS (NM_001281466)	TTS (NM_001281466)	7002	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-423	chr4	147276046	147276045	+	0.789473684210526	NA	intron (NM_001378742, intron 1 of 4)	CpG	-29559	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-24	chr1	85330146	85330145	-	0.787878787878788	NA	Intergenic	Intergenic	-2766	NR_165476	108167347		NM_001372515		Gm2619	100040135	component of Sp100-rs-like	pseudo
1-429	chr4	147309825	147309824	-	0.785714285714286	NA	intron (NM_001384232, intron 1 of 3)	B1_Mus2|SINE|Alu	4220	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-478	chr5	15004228	15004227	+	0.785714285714286	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-25328	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-249	chr17	3079540	3079539	+	0.785714285714286	NA	non-coding (NR_003519, exon 3 of 8)	non-coding (NR_003519, exon 3 of 8)	4644	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
1-168	chr13	12834596	12834595	-	0.782608695652174	NA	Intergenic	L1_Mus1|LINE|L1	-34516	NM_011118	18812		NM_011118	ENSMUSG00000056457	Prl2c3	Ghd1|MRP-2|MRP-3|Mrpplf3|PLF-2|PLF-3|Plf2|Prl2c4|mrp/plf3	prolactin family 2, subfamily c, member 3	protein-coding
1-27	chr1	85492464	85492463	-	0.780487804878049	NA	Intergenic	Intergenic	-52352	NM_001378663	101055758		NM_001378663	ENSMUSG00000118607	Gm7592	EG665338	predicted gene 7592	protein-coding
1-280	chr17	35430134	35430133	-	0.777777777777778	NA	TTS (NM_001368741)	TTS (NM_001368741)	5283	NM_001368742	110557		NM_207648	ENSMUSG00000073409	H2-Q6	0610037M15Rik|H-2Q6|H2-K1|Qa-6|Qa6	histocompatibility 2, Q region locus 6	protein-coding
1-402	chr4	146478679	146478678	+	0.777777777777778	NA	Intergenic	Intergenic	-23322	NM_001243138	100041433		NM_001243138	ENSMUSG00000056300	Zfp981	Gm13247	zinc finger protein 981	protein-coding
1-461	chr5	14973623	14973622	-	0.777777777777778	NA	TTS (NM_001281514)	TTS (NM_001281514)	5277	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-129	chr11	5168554	5168553	-	0.777777777777778	NA	Intergenic	Intergenic	-16323	NM_001371000	140703		NM_080595	ENSMUSG00000034164	Emid1	CO-5|Emu1	EMI domain containing 1	protein-coding
1-223	chr15	6683412	6683411	+	0.772727272727273	NA	Intergenic	MuRRS-int|LTR|ERV1	-24970	NM_030168	78757		NM_030168	ENSMUSG00000050310	Rictor	4921505C17Rik|6030405M08Rik|AVO3|D530039E11Rik	RPTOR independent companion of MTOR, complex 2	protein-coding
1-612	chr6	47745991	47745990	+	0.769230769230769	NA	Intergenic	RMER12B|LTR|ERVK	-1759	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA
1-427	chr4	147294152	147294151	-	0.769230769230769	NA	intron (NM_001378742, intron 1 of 4)	intron (NM_001378742, intron 1 of 4)	-11453	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-297	chr18	82161504	82161503	-	0.769230769230769	NA	Intergenic	RCHARR1|DNA|hAT-Charlie	-169423	NR_039589	100628596		NR_039589	ENSMUSG00000093036	Mir5127	mmu-mir-5127|mu-mir-5127	microRNA 5127	ncRNA
1-328	chr3	44028063	44028062	+	0.769230769230769	NA	Intergenic	L1Md_A|LINE|L1	1350198	NR_045172	72511		NR_045172	ENSMUSG00000097040	2610316D01Rik	-	RIKEN cDNA 2610316D01 gene	ncRNA
1-144	chr12	20231651	20231650	+	0.764705882352941	NA	Intergenic	MMERGLN-int|LTR|ERV1	584129	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-26	chr1	85461811	85461810	+	0.764705882352941	NA	Intergenic	MTC|LTR|ERVL-MaLR	-83005	NM_001378663	101055758		NM_001378663	ENSMUSG00000118607	Gm7592	EG665338	predicted gene 7592	protein-coding
1-453	chr5	14952095	14952094	+	0.764705882352941	NA	intron (NR_001584, intron 1 of 3)	intron (NR_001584, intron 1 of 3)	6800	NR_001584	74062		NR_001584		Speer8-ps1	4933405L09Rik|SPEER-8|Speer8-ps	spermatogenesis associated glutamate (E)-rich protein 8, pseudogene 1	pseudo
1-735	chrY	90807808	90807807	-	0.761904761904762	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	22365	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-626	chr7	22844451	22844450	+	0.761904761904762	NA	promoter-TSS (NM_001166758)	promoter-TSS (NM_001166758)	-845	NM_001166758	670857		NM_001166758	ENSMUSG00000095931	Vmn1r159	Gm16507	vomeronasal 1 receptor 159	protein-coding
1-207	chr13	119603050	119603049	-	0.76	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	-20770	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-348	chr3	144657312	144657311	-	0.757575757575758	NA	Intergenic	L1Md_T|LINE|L1	62858	NM_001379171	54673		NM_019464	ENSMUSG00000037062	Sh3glb1	Bif-1|mKIAA0491	SH3-domain GRB2-like B1 (endophilin)	protein-coding
1-722	chrY	90799437	90799436	+	0.756756756756757	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	13994	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-252	chr17	3079565	3079564	-	0.756410256410256	NA	non-coding (NR_003519, exon 3 of 8)	non-coding (NR_003519, exon 3 of 8)	4619	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
1-611	chr6	47744009	47744008	+	0.75609756097561	NA	TTS (NR_002841).2	TTS (NR_002841).2	223	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA
1-68	chr1	88285897	88285896	-	0.75609756097561	NA	Intergenic	Intergenic	-8317	NM_198652	381280		NM_198652	ENSMUSG00000044783	Hjurp	6430706D22Rik|A730008H23Rik|C330011F01Rik|Gm975|Mfleg1	Holliday junction recognition protein	protein-coding
1-325	chr3	15413301	15413300	+	0.75	NA	intron (NM_001002898, intron 2 of 5)	intron (NM_001002898, intron 2 of 5)	13127	NM_001002898	320832		NM_178792	ENSMUSG00000095788	Sirpb1a	9930027N05Rik|SIRP-beta|Sirpb|Sirpb1	signal-regulatory protein beta 1A	protein-coding
1-529	chr5	15591731	15591730	+	0.75	NA	Intergenic	Intergenic	14437	NM_001310450	105242399		NM_001310450	ENSMUSG00000096878	Gm21083	-	predicted gene, 21083	protein-coding
1-9	chr1	85071955	85071954	+	0.75	NA	Intergenic	Intergenic	-34139	NR_163968	621875		NM_001037910	ENSMUSG00000072109	A530040E14Rik	-	RIKEN cDNA A530040E14 gene	ncRNA
1-687	chrX	31195863	31195862	-	0.75	NA	Intergenic	L2b|LINE|L2	-140507	NM_001085551	668958		NM_001085551	ENSMUSG00000094558	Btbd35f11	Gm14346	BTB domain containing 35, family member 11	protein-coding
1-318	chr2	151125674	151125673	+	0.75	NA	Intergenic	Intergenic	-1791	NR_168335	102632393		NR_168335		Gm30478	-	predicted gene, 30478	ncRNA
1-218	chr14	43294212	43294211	+	0.75	NA	promoter-TSS (NM_001378715)	promoter-TSS (NM_001378715)	-348	NM_001378715	666485		NM_001378715	ENSMUSG00000090713	Gm8127	EG666485	predicted gene 8127	protein-coding
1-668	chr8	25869978	25869977	+	0.75	NA	intron (NM_008432, intron 7 of 26)	intron (NM_008432, intron 7 of 26)	20354	NM_008432	16532		NM_008432	ENSMUSG00000031576	Kcnu1	Kcnma3|Slo3|mSlo3	potassium channel, subfamily U, member 1	protein-coding
1-47	chr1	88258923	88258922	-	0.75	NA	TTS (NM_198652)	TTS (NM_198652)	10486	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-685	chrX	31132243	31132242	-	0.75	NA	Intergenic	L1_Mus3|LINE|L1	-204127	NM_001085551	668958		NM_001085551	ENSMUSG00000094558	Btbd35f11	Gm14346	BTB domain containing 35, family member 11	protein-coding
1-55	chr1	88262338	88262337	-	0.75	NA	TTS (NM_001281466)	TTS (NM_001281466)	7071	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-35	chr1	85598767	85598766	+	0.739130434782609	NA	promoter-TSS (NM_030194)	promoter-TSS (NM_030194)	44	NM_030194	109032		NM_030194	ENSMUSG00000070034	Sp110	5031415C07Rik|52kDa|5830484A20Rik|Ifi75|Ipr1	Sp110 nuclear body protein	protein-coding
1-613	chr6	47748349	47748348	+	0.736842105263158	NA	Intergenic	Intergenic	-4117	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA
1-39	chr1	85650916	85650915	-	0.736842105263158	NA	intron (NM_001372231, intron 1 of 21)	intron (NM_001372231, intron 1 of 21)	901	NM_001372232	20684		NM_013673	ENSMUSG00000026222	Sp100	A430075G10Rik	nuclear antigen Sp100	protein-coding
1-340	chr3	106202020	106202019	-	0.736842105263158	NA	intron (NM_145126, intron 10 of 10)	intron (NM_145126, intron 10 of 10)	17460	NM_145126	104183		NM_145126	ENSMUSG00000063779	Chil4	Chi3l4|Ym2	chitinase-like 4	protein-coding
1-251	chr17	3079553	3079552	-	0.736526946107784	NA	non-coding (NR_003519, exon 3 of 8)	non-coding (NR_003519, exon 3 of 8)	4631	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
1-407	chr4	146975128	146975127	-	0.733333333333333	NA	Intergenic	RMER6A|LTR|ERVK	-46723	NM_001177767	100043034		NM_001177767	ENSMUSG00000067919	Rex2	Gm13138	reduced expression 2	protein-coding
1-489	chr5	15037447	15037446	-	0.733333333333333	NA	Intergenic	ORR1A1-int|LTR|ERVL-MaLR	-4439	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-302	chr19	36574154	36574153	-	0.733333333333333	NA	intron (NM_001163471, intron 2 of 20)	intron (NM_001163471, intron 2 of 20)	19514	NM_001163471	226098		NM_172637	ENSMUSG00000041180	Hectd2	4921524L07|A630025O09Rik	HECT domain E3 ubiquitin protein ligase 2	protein-coding
1-744	chrY	90808879	90808878	-	0.73134328358209	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	23436	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-235	chr16	3243223	3243222	+	0.730769230769231	NA	Intergenic	FordPrefect|DNA|hAT-Tip100	-349176	NM_146860	258859		NM_146860	ENSMUSG00000051003	Or1f19	MOR131-1|OR912-47M6|Olfr161	olfactory receptor family 1 subfamily F member 19	protein-coding
1-219	chr14	43353857	43353856	+	0.727272727272727	NA	Intergenic	Intergenic	-6045	NM_027940	71826		NM_027940	ENSMUSG00000095384	1700001F09Rik	Gm10377	RIKEN cDNA 1700001F09 gene	protein-coding
1-669	chr8	29199630	29199629	-	0.727272727272727	NA	intron (NM_001347499, intron 1 of 16)	L1Md_T|LINE|L1	20007	NM_001347501	210801		NM_153135	ENSMUSG00000063626	Unc5d	D930029E11Rik|Unc5h4|mKIAA1777	unc-5 netrin receptor D	protein-coding
1-533	chr5	15603679	15603678	-	0.727272727272727	NA	Intergenic	Intergenic	-15421	NM_025759	360220		NM_025759	ENSMUSG00000070933	Speer4d	4933431D05Rik|SPEER-4D	spermatogenesis associated glutamate (E)-rich protein 4D	protein-coding
1-186	chr13	119488310	119488309	-	0.727272727272727	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	75	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-583	chr5	139736958	139736957	-	0.727272727272727	NA	promoter-TSS (NM_174850)	promoter-TSS (NM_174850)	-624	NM_174850	231830		NM_174850	ENSMUSG00000036718	Micall2	A930021H16Rik|JRAB|MICAL-L2|mFLJ00139	MICAL-like 2	protein-coding
1-542	chr5	15679094	15679093	+	0.727272727272727	NA	Intergenic	Intergenic	-1617	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-605	chr6	3191904	3191903	+	0.727272727272727	NA	Intergenic	MTC|LTR|ERVL-MaLR	-96616	NR_036696	667335		NR_036696	ENSMUSG00000106779	Gm8579	EG667335	spermatogenesis associated glutamate (E)-rich protein 4a pseudogene	pseudo
1-275	chr17	13448165	13448164	+	0.722222222222222	NA	Intergenic	RMER5|LTR|ERV1	-73292	NR_030763	272667		NR_030763	ENSMUSG00000121414	Smok4a	4930513D10Rik|Smok2c	sperm motility kinase 4A	pseudo
1-584	chr5	145649624	145649623	+	0.722222222222222	NA	Intergenic	Intergenic	-64893	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-631	chr7	59748306	59748305	+	0.72	NA	intron (NR_146211, intron 65 of 171)	intron (NR_146211, intron 65 of 171)	3275	NR_033778	64244		NR_033778	ENSMUSG00000119415	Snord116l1	Pwcr1l1	small nucleolar RNA, C/D box 116-like 1	snoRNA
1-145	chr12	20233349	20233348	-	0.71875	NA	Intergenic	MMERGLN-int|LTR|ERV1	582431	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-695	chrX	169973123	169973122	-	0.71875	NA	intron (NM_001290504, intron 3 of 9)	intron (NM_001290504, intron 3 of 9)	5795	NR_029457	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-109	chr11	3126968	3126967	+	0.717391304347826	NA	intron (NR_003517, intron 2 of 6)	intron (NR_003517, intron 2 of 6)	2965	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-666	chr8	20583374	20583373	-	0.714285714285714	NA	Intergenic	LTRIS2|LTR|ERV1	-31554	NM_001270553	100861668		NM_001270553	ENSMUSG00000095294	Potefam3b	Gm21119|Pote3b	POTE ankyrin domain family member 3B	protein-coding
1-682	chr9	11070237	11070236	+	0.714285714285714	NA	Intergenic	ERVB4_1B-LTR_MM|LTR|ERVK	-165461	NM_001170787	244682		NM_001033359	ENSMUSG00000039488	Cntn5	6720426O10Rik|A830025P08Rik|Gm507|NB-2	contactin 5	protein-coding
1-456	chr5	14963661	14963660	+	0.714285714285714	NA	intron (NR_001584, intron 2 of 3)	intron (NR_001584, intron 2 of 3)	15239	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-449	chr5	14933784	14933783	-	0.714285714285714	NA	3' UTR (NM_001122661, exon 5 of 5)	3' UTR (NM_001122661, exon 5 of 5)	4692	NM_001122661	624245		NM_001122661	ENSMUSG00000091255	Speer4e1	Speer4e	spermatogenesis associated glutamate (E)-rich protein 4E1	protein-coding
1-267	chr17	13324708	13324707	-	0.714285714285714	NA	Intergenic	Intergenic	-29865	NM_001167578	100041352		NM_001167578	ENSMUSG00000052469	Tcp10c	D17Leh66C|D17Leh66ca|Gm9880|T66C-a|Tcp-10c	t-complex protein 10c	protein-coding
1-528	chr5	15589273	15589272	-	0.714285714285714	NA	Intergenic	Intergenic	11979	NM_001310450	105242399		NM_001310450	ENSMUSG00000096878	Gm21083	-	predicted gene, 21083	protein-coding
1-635	chr7	99654491	99654490	-	0.714285714285714	NA	Intergenic	Intergenic	-27387	NM_001195529	100503386		NM_001195529	ENSMUSG00000096606	Tpbgl	EG245190|Gm4980	trophoblast glycoprotein-like	protein-coding
1-233	chr15	103895187	103895186	-	0.714285714285714	NA	TTS (NM_009267)	TTS (NM_009267)	4114	NM_009268	20771		NM_009268	ENSMUSG00000060311	Mucl1	Spt-2|Spt2	mucin-like 1	protein-coding
1-151	chr12	20234320	20234319	-	0.710526315789474	NA	Intergenic	MMERGLN-int|LTR|ERV1	581460	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
